KEY	ZipCode	City	District	Street	HouseNr	X_Coordinate	Y_Coordinate	Flag_Coordinates	Version	House_ID	Image	Random
1461200000007970	1108	Dresden	Weixdorf	Altweixdorf	17	13,7971436	51,1473843	1	20170201	100006884	http://maps.google.com/maps/api/staticmap?center=51.1473843,13.7971436&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1473843,13.7971436	94
1461200000008040	1108	Dresden	Weixdorf	Gomlitzer Höhe	3	13,7870652	51,1521702	1	20170201	100006949	http://maps.google.com/maps/api/staticmap?center=51.1521702,13.7870652&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1521702,13.7870652	68
1461200000008420	1109	Dresden	Klotzsche	Alexander-Herzen-Str.	47	13,7889737	51,1222802	1	20170201	100007197	http://maps.google.com/maps/api/staticmap?center=51.1222802,13.7889737&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1222802,13.7889737	16
1461200000008470	1109	Dresden	Klotzsche	Altklotzsche	69	13,7620583	51,1153779	1	20170201	100007247	http://maps.google.com/maps/api/staticmap?center=51.1153779,13.7620583&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1153779,13.7620583	49
1461200000008570	1109	Dresden	Klotzsche	Am Feldgehölz	11	13,7763117	51,1217789	1	20170201	100007332	http://maps.google.com/maps/api/staticmap?center=51.1217789,13.7763117&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1217789,13.7763117	51
1461200000008680	1109	Dresden	Hellerau/Wilschdorf	Am Grünen Zipfel	58	13,7618815	51,1072919	1	20170201	100007433	http://maps.google.com/maps/api/staticmap?center=51.1072919,13.7618815&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1072919,13.7618815	77
1461200000009030	1109	Dresden	Klotzsche	Am Steinacker	27	13,7639148	51,1197664	1	20170201	100007773	http://maps.google.com/maps/api/staticmap?center=51.1197664,13.7639148&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1197664,13.7639148	73
1461200000009070	1109	Dresden	Klotzsche	Am Steinacker	50B	13,7682567	51,1218788	1	20170201	100007809	http://maps.google.com/maps/api/staticmap?center=51.1218788,13.7682567&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1218788,13.7682567	78
1461200000009130	1109	Dresden	Hellerau/Wilschdorf	Am Torfmoor	14	13,7420492	51,1153824	1	20170201	100007863	http://maps.google.com/maps/api/staticmap?center=51.1153824,13.7420492&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1153824,13.7420492	38
1461200000009220	1109	Dresden	Klotzsche	Am Trobischberg	9	13,7758097	51,1190818	1	20170201	100007955	http://maps.google.com/maps/api/staticmap?center=51.1190818,13.7758097&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1190818,13.7758097	35
1461200000009280	1109	Dresden	Hellerau/Wilschdorf	Am Winkel	9A	13,7189995	51,120852	1	20170201	100008009	http://maps.google.com/maps/api/staticmap?center=51.120852,13.7189995&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.120852,13.7189995	69
1461200000009530	1109	Dresden	Hellerau/Wilschdorf	Beckerstr.	20	13,734386	51,1156632	1	20170201	100008245	http://maps.google.com/maps/api/staticmap?center=51.1156632,13.734386&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1156632,13.734386	46
1461200000009710	1109	Dresden	Klotzsche	Boltenhagener Str.	57	13,7721644	51,1186399	1	20170201	100008411	http://maps.google.com/maps/api/staticmap?center=51.1186399,13.7721644&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1186399,13.7721644	44
1461200000009850	1109	Dresden	Klotzsche	Dörnichtweg	67	13,7782711	51,1226797	1	20170201	100008529	http://maps.google.com/maps/api/staticmap?center=51.1226797,13.7782711&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1226797,13.7782711	44
1461200000010000	1109	Dresden	Klotzsche	Georg-Estler-Str.	9	13,7847847	51,1143317	1	20170201	100008672	http://maps.google.com/maps/api/staticmap?center=51.1143317,13.7847847&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1143317,13.7847847	58
1461200000010010	1109	Dresden	Klotzsche	Gertrud-Caspari-Str.	2	13,7821721	51,1135944	1	20170201	100008679	http://maps.google.com/maps/api/staticmap?center=51.1135944,13.7821721&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1135944,13.7821721	57
1461200000010670	1109	Dresden	Klotzsche	Königsbrück Landstr	5C	13,772743	51,1076616	1	20170201	100009279	http://maps.google.com/maps/api/staticmap?center=51.1076616,13.772743&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1076616,13.772743	18
1461200000010680	1109	Dresden	Klotzsche	Königsbrück Landstr	61	13,7823273	51,1135827	1	20170201	100009281	http://maps.google.com/maps/api/staticmap?center=51.1135827,13.7823273&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1135827,13.7823273	3
